Elevator call,4.993816266,-6,78,0,0,0,1
Elevator call,18.77917039,-9,-7,0,7,1,1
Elevator call,19.38707866,-1,5,0,8,2,1
Elevator call,20.32751752,-1,-5,0,1,3,-1
Elevator call,27.99997326,-1,55,0,8,4,1
Elevator call,29.91723962,-2,64,0,7,5,1
Elevator call,38.28582116,-4,68,0,0,6,1
Elevator call,39.19202924,-4,6,0,1,7,1
Elevator call,39.6971041,0,95,0,1,8,1
Elevator call,49.43307426,-2,-4,0,2,9,-1
Elevator call,54.19643679,-6,8,0,3,10,1
Elevator call,57.4053197,-3,7,0,8,11,1
Elevator call,63.05259876,-5,-1,0,0,12,1
Elevator call,79.37736412,-3,85,0,0,13,1
Elevator call,89.4285159,-5,19,0,7,14,1
Elevator call,92.15048695,-9,40,0,8,15,1
Elevator call,96.61997032,-6,39,0,7,16,1
Elevator call,108.6420489,-2,44,0,0,17,1
Elevator call,111.6270815,-3,-8,0,8,18,-1
Elevator call,116.7206903,-2,67,0,8,19,1
Elevator call,117.9341393,-2,70,0,0,20,1
Elevator call,133.3453959,-9,47,0,7,21,1
Elevator call,134.003558,-6,98,0,7,22,1
Elevator call,140.5209525,-6,54,0,1,23,1
Elevator call,142.0780896,-8,13,0,2,24,1
Elevator call,146.7629329,0,73,0,2,25,1
Elevator call,147.4439262,-7,67,0,1,26,1
Elevator call,151.6163013,-6,0,0,8,27,1
Elevator call,159.1776651,0,7,0,0,28,1
Elevator call,170.1571219,-6,51,0,0,29,1
Elevator call,173.2539258,62,87,0,8,30,1
Elevator call,174.9139487,-4,48,0,8,31,1
Elevator call,177.914669,-2,10,0,7,32,1
Elevator call,179.4121157,-2,26,0,7,33,1
Elevator call,188.6936022,-6,-7,0,3,34,-1
Elevator call,197.442433,-7,75,0,3,35,1
Elevator call,202.6306173,-2,0,0,0,36,1
Elevator call,203.2352417,-8,38,0,0,37,1
Elevator call,209.3508155,27,-4,0,7,38,-1
Elevator call,209.9785016,-3,4,0,1,39,1
Elevator call,210.9063053,94,-2,0,7,40,-1
Elevator call,211.3293187,-2,37,0,1,41,1
Elevator call,217.2229099,-9,49,0,8,42,1
Elevator call,218.0743446,52,87,0,8,43,1
Elevator call,219.8159878,-9,36,0,2,44,1
Elevator call,220.7687355,93,-4,0,0,45,-1
Elevator call,224.3119838,-5,-8,0,4,46,-1
Elevator call,231.5665188,10,62,0,4,47,1
Elevator call,238.4981901,-3,-2,0,5,48,1
Elevator call,249.1457817,-1,20,0,1,49,1
Elevator call,249.4715393,-5,0,0,9,50,1
Elevator call,254.5034433,-3,43,0,1,51,1
Elevator call,255.1145315,-5,15,0,2,52,1
Elevator call,257.2984921,-3,-9,0,3,53,-1
Elevator call,260.3834918,-8,22,0,8,54,1
Elevator call,266.894697,81,-5,0,7,55,-1
Elevator call,270.3465009,-3,-4,0,5,56,-1
Elevator call,272.4308394,-9,91,0,8,57,1
Elevator call,278.807361,-5,26,0,5,58,1
Elevator call,285.4590042,-4,82,0,0,59,1
Elevator call,299.0623869,-9,34,0,7,60,1
Elevator call,303.5884504,-4,49,0,7,61,1
Elevator call,305.1612057,-9,7,0,1,62,1
Elevator call,307.1772882,-4,52,0,0,63,1
Elevator call,310.1052389,38,-3,0,0,64,-1
Elevator call,310.2471598,-8,16,0,1,65,1
Elevator call,310.4366008,9,-5,0,2,66,-1
Elevator call,310.6589569,-2,-5,0,3,67,-1
Elevator call,314.4656937,-8,-6,0,8,68,1
Elevator call,318.6388016,-5,20,0,8,69,1
Elevator call,326.5863964,-7,-2,0,4,70,1
Elevator call,334.8964003,-6,6,0,3,71,1
Elevator call,338.345511,-8,14,0,7,72,1
Elevator call,346.0955137,-8,39,0,8,73,1
Elevator call,361.6454981,-7,63,0,0,74,1
Elevator call,363.8472275,-5,-3,0,7,75,1
Elevator call,381.3197156,-7,14,0,0,76,1
Elevator call,388.5150303,-4,58,0,0,77,1
Elevator call,394.2587745,-2,-6,0,7,78,-1
Elevator call,394.956887,-9,-2,0,8,79,1
Elevator call,396.0105324,-7,95,0,7,80,1
Elevator call,396.1162808,0,26,0,8,81,1
Elevator call,397.8285609,46,75,0,1,82,1
Elevator call,398.5204057,-4,28,0,2,83,1
Elevator call,399.9490901,-1,36,0,3,84,1
Elevator call,400.2358983,-5,77,0,8,85,1
Elevator call,403.0808709,-6,60,0,1,86,1
Elevator call,420.9026743,-3,12,0,4,87,1
Elevator call,424.9773031,71,0,0,0,88,-1
Elevator call,431.6381373,-6,87,0,7,89,1
Elevator call,438.3698754,-3,-4,0,2,90,-1
Elevator call,440.9104056,-7,-2,0,3,91,1
Elevator call,442.4802432,38,58,0,7,92,1
Elevator call,445.2255437,-3,17,0,2,93,1
Elevator call,447.8210019,82,10,0,0,94,-1
Elevator call,448.3721943,-9,31,0,8,95,1
Elevator call,448.552728,-7,0,0,4,96,1
Elevator call,449.6414067,-5,0,0,5,97,1
Elevator call,458.5749347,0,75,0,8,98,1
Elevator call,464.0505259,-8,98,0,5,99,1
Elevator call,467.1243026,-9,27,0,1,100,1
Elevator call,471.1846232,-8,10,0,3,101,1
Elevator call,473.8240202,-6,-7,0,4,102,-1
Elevator call,486.1883161,32,71,0,7,103,1
Elevator call,494.2575702,-6,-9,0,1,104,-1
Elevator call,499.0640401,-9,-5,0,8,105,1
Elevator call,505.4291883,-5,41,0,8,106,1
Elevator call,505.5712471,-2,93,0,1,107,1
Elevator call,507.8962435,0,14,0,0,108,1
Elevator call,508.3883649,-5,67,0,0,109,1
Elevator call,508.4388148,-6,-3,0,7,110,1
Elevator call,510.1509569,-5,21,0,7,111,1
